Customer_ID,First_Name,Last_Name,Gender,Age,Birth_Date,Marital_Status,Occupation,Location,Income_Bracket,Abandoned Cart,Wishlist Items,Customer_Lifetime_Value
CUST0021,Ghaliyati,Purwanti,Female,28,1996-10-25,Married,Print production planner,Ternate,Low Income,"['PROD0498', 'PROD0890', 'PROD0227', 'PROD0445']","['PROD0678', 'PROD0173', 'PROD0021', 'PROD0372', 'PROD0397']",619772
CUST0022,Kuncara,Marbun,Male,51,1974-06-13,Married,Tourism officer,Kotamobagu,Middle Income,['PROD0299'],"['PROD0880', 'PROD0718', 'PROD0204']",2845763
CUST0023,Kanda,Halim,Male,33,1992-02-10,Single,Chartered certified accountant,Binjai,Middle Income,"['PROD0414', 'PROD0662', 'PROD1048', 'PROD0230']","['PROD0911', 'PROD0047', 'PROD0285']",3108497
CUST0024,Umar,Widodo,Male,47,1978-05-07,Married,"Engineer, petroleum",Tomohon,Middle Income,"['PROD0066', 'PROD0891', 'PROD0612']","['PROD0462', 'PROD0553', 'PROD0248', 'PROD1044', 'PROD0765', 'PROD0825']",4848827
CUST0025,Mala,Haryanti,Female,45,1980-03-06,Married,Publishing copy,Sawahlunto,Middle Income,"['PROD0349', 'PROD0057']","['PROD0114', 'PROD0651', 'PROD0629', 'PROD0280', 'PROD0666', 'PROD0555', 'PROD0844']",4772094
CUST0026,Luhung,Hidayanto,Male,45,1979-09-30,Married,Museum/gallery conservator,Bau-Bau,Middle Income,"['PROD0261', 'PROD0768', 'PROD0244']","['PROD0305', 'PROD0490', 'PROD0667', 'PROD0341']",3644094
CUST0027,Mulyono,Dabukke,Male,48,1976-11-17,Married,Hospital doctor,Cilegon,Middle Income,"['PROD0162', 'PROD0569']","['PROD0175', 'PROD0471', 'PROD0780', 'PROD1041']",2001151
CUST0028,Kani,Nasyidah,Female,54,1971-07-03,Married,"Scientist, product/process development",Metro,High Income,"['PROD0233', 'PROD0172', 'PROD0769', 'PROD0842']","['PROD0845', 'PROD0932', 'PROD0933', 'PROD0387', 'PROD0124', 'PROD0255']",18288724
CUST0029,Karimah,Nasyiah,Female,43,1982-01-08,Married,"Secretary, company",Pagaralam,Middle Income,['PROD0105'],"['PROD0433', 'PROD0987']",4231346
CUST0030,Raisa,Yulianti,Female,18,2007-06-07,Single,Mental health nurse,Denpasar,Middle Income,['PROD0915'],"['PROD0819', 'PROD0072', 'PROD0408']",2979319
CUST0031,Zahra,Lestari,Female,48,1977-08-14,Married,Television camera operator,Blitar,Low Income,"['PROD0183', 'PROD0754']","['PROD0492', 'PROD0425', 'PROD0978', 'PROD0532', 'PROD0968', 'PROD0642', 'PROD0657']",968873
CUST0032,Citra,Winarsih,Female,42,1983-02-16,Married,"Surveyor, planning and development",Lhokseumawe,High Income,['PROD0354'],"['PROD0358', 'PROD1002']",11432068
CUST0033,Jumadi,Rajata,Male,60,1964-09-14,Married,Local government officer,Padangpanjang,Middle Income,"['PROD0248', 'PROD0170', 'PROD0287']","['PROD0047', 'PROD0320', 'PROD0650']",4115461
CUST0034,Unjani,Andriani,Female,47,1977-11-15,Married,Arts administrator,Tanjungpinang,Middle Income,"['PROD0875', 'PROD0190', 'PROD0061', 'PROD0179']","['PROD0917', 'PROD0476', 'PROD0493', 'PROD0298', 'PROD0181']",2480863
CUST0035,Kartika,Melani,Female,36,1989-07-22,Married,Data scientist,Lhokseumawe,Low Income,"['PROD0422', 'PROD0578', 'PROD0195']","['PROD0119', 'PROD0077', 'PROD0565']",733093
CUST0036,Ade,Pertiwi,Female,48,1977-05-11,Married,Television/film/video producer,Palopo,Low Income,"['PROD0548', 'PROD0971', 'PROD0336', 'PROD0136']","['PROD0101', 'PROD0384', 'PROD0832', 'PROD0386', 'PROD0516']",206878
CUST0037,Setya,Napitupulu,Male,58,1966-10-05,Married,Energy engineer,Cirebon,Middle Income,"['PROD0554', 'PROD0018']","['PROD1038', 'PROD0341', 'PROD0170', 'PROD0326', 'PROD0223']",5512333
CUST0038,Vicky,Mandasari,Female,30,1995-03-18,Married,Control and instrumentation engineer,Padangpanjang,Middle Income,"['PROD0134', 'PROD0988']","['PROD0450', 'PROD0815', 'PROD0956']",2216117
CUST0039,Padmi,Hasanah,Female,28,1996-10-02,Married,Financial risk analyst,Parepare,Middle Income,"['PROD0577', 'PROD0519', 'PROD0863']","['PROD0574', 'PROD0085']",3497040
CUST0040,Putri,Yolanda,Female,24,2001-02-22,Single,"Scientist, forensic",Bandar Lampung,Middle Income,['PROD0574'],"['PROD0451', 'PROD0931', 'PROD0857', 'PROD0207', 'PROD0639', 'PROD0192']",3275913
CUST0041,Warji,Winarno,Male,35,1990-01-29,Single,Careers information officer,Bima,High Income,['PROD0679'],"['PROD0366', 'PROD0203']",13593922
CUST0042,Sari,Haryanti,Female,19,2006-06-13,Married,"Surveyor, land/geomatics",Prabumulih,Middle Income,['PROD0946'],"['PROD0118', 'PROD0233', 'PROD0032', 'PROD0934']",1280487
CUST0043,Nurul,Fujiati,Female,43,1982-02-01,Married,English as a second language teacher,Bekasi,Low Income,"['PROD0339', 'PROD0982', 'PROD0516', 'PROD0050']","['PROD0666', 'PROD0137', 'PROD0906', 'PROD0388', 'PROD0619', 'PROD1056']",366619
CUST0044,Bahuwarna,Hardiansyah,Male,21,2004-02-26,Single,Accommodation manager,Sabang,High Income,['PROD0040'],"['PROD0735', 'PROD0348', 'PROD0507', 'PROD0393', 'PROD0753', 'PROD0028', 'PROD0162']",10519877
CUST0045,Viman,Simbolon,Male,25,2000-06-03,Single,Theatre director,Pekalongan,Low Income,"['PROD0103', 'PROD0058', 'PROD0685', 'PROD0733']","['PROD0942', 'PROD0356', 'PROD0650', 'PROD0805', 'PROD0745', 'PROD0898']",587038
CUST0046,Jelita,Fujiati,Female,24,2000-12-04,Married,Insurance account manager,Tegal,Middle Income,['PROD0591'],"['PROD0439', 'PROD0641', 'PROD0473', 'PROD0882', 'PROD1012', 'PROD0857', 'PROD0095']",2017989
CUST0047,Eli,Maryati,Female,17,2008-03-06,Single,Corporate investment banker,Manado,Low Income,"['PROD0448', 'PROD0306', 'PROD0631']","['PROD0316', 'PROD0167']",280364
CUST0048,Tira,Widiastuti,Female,30,1995-05-01,Married,Government social research officer,Pasuruan,Middle Income,"['PROD1035', 'PROD0315', 'PROD0137']","['PROD0401', 'PROD0648']",1175273
CUST0049,Zulaikha,Nasyidah,Female,59,1966-04-04,Married,"Engineer, energy",Gorontalo,Middle Income,"['PROD1002', 'PROD0432', 'PROD0451', 'PROD0445']","['PROD0409', 'PROD0927', 'PROD0851', 'PROD0827', 'PROD0392', 'PROD0368']",2717639
CUST0050,Ella,Nurdiyanti,Female,50,1975-03-29,Married,Chief of Staff,Batam,Middle Income,"['PROD0572', 'PROD0537']","['PROD0974', 'PROD0054', 'PROD0949', 'PROD0639']",3357769
CUST0051,Hani,Handayani,Female,33,1992-04-15,Single,Museum/gallery conservator,Tanjungpinang,Middle Income,"['PROD0604', 'PROD0610', 'PROD1017']","['PROD1012', 'PROD0509', 'PROD0102', 'PROD1009', 'PROD0800']",3465818
CUST0052,Victoria,Purwanti,Female,24,2000-12-09,Married,Financial planner,Sabang,Middle Income,"['PROD0963', 'PROD0281', 'PROD0711', 'PROD0102']","['PROD0336', 'PROD0929', 'PROD0920', 'PROD0167']",4812237
CUST0053,Mumpuni,Situmorang,Male,21,2004-01-02,Single,Secondary school teacher,Mataram,Middle Income,['PROD1034'],"['PROD0264', 'PROD0683', 'PROD0382', 'PROD0472', 'PROD0140', 'PROD0082', 'PROD0841']",1222863
CUST0054,Dartono,Januar,Male,55,1970-04-11,Married,Water engineer,Gorontalo,Low Income,"['PROD0569', 'PROD0455', 'PROD0020', 'PROD0440']","['PROD0883', 'PROD0468', 'PROD0460', 'PROD0323', 'PROD0019', 'PROD0015']",761542
CUST0055,Edward,Wibisono,Male,24,2001-03-11,Married,Corporate investment banker,Pariaman,Middle Income,"['PROD0900', 'PROD0103', 'PROD0437']","['PROD0028', 'PROD0058', 'PROD0396', 'PROD0043', 'PROD0489', 'PROD0245']",1232018
CUST0056,Sabar,Wijaya,Male,43,1982-03-04,Married,Commercial art gallery manager,Tegal,Middle Income,"['PROD0600', 'PROD0637']","['PROD0879', 'PROD0576', 'PROD1024', 'PROD0967', 'PROD0898']",2670235
CUST0057,Darmana,Simanjuntak,Male,24,2000-08-28,Married,Graphic designer,Metro,Low Income,['PROD1027'],"['PROD0792', 'PROD0197', 'PROD0418', 'PROD0533', 'PROD0957']",277159
CUST0058,Zizi,Zulaika,Female,31,1993-11-25,Single,Textile designer,Bengkulu,Low Income,"['PROD0923', 'PROD0937']","['PROD0811', 'PROD0548', 'PROD0029']",528853
CUST0059,Gasti,Rahayu,Female,50,1975-04-02,Married,Microbiologist,Kediri,Middle Income,"['PROD0521', 'PROD0629', 'PROD0949']","['PROD0072', 'PROD0118', 'PROD0583', 'PROD0068']",4803839
CUST0060,Baktianto,Wasita,Male,18,2006-12-07,Single,Editorial assistant,Cirebon,Low Income,['PROD0549'],"['PROD0213', 'PROD0341', 'PROD0116', 'PROD0020', 'PROD1033']",812461
CUST0061,Caket,Latupono,Male,51,1974-01-20,Married,Surgeon,Tanjungpinang,Middle Income,"['PROD0776', 'PROD1048', 'PROD0217']","['PROD0393', 'PROD0791', 'PROD1033', 'PROD0575', 'PROD0719', 'PROD0806', 'PROD1057']",1315472
CUST0062,Luis,Wahyudin,Male,28,1996-12-28,Single,Lawyer,Tasikmalaya,Middle Income,"['PROD0127', 'PROD0513', 'PROD0282']","['PROD0443', 'PROD0264']",4261663
CUST0063,Ratih,Usamah,Female,60,1965-04-17,Married,Building surveyor,Cilegon,Low Income,"['PROD0886', 'PROD0129', 'PROD0073']","['PROD1049', 'PROD0179', 'PROD0666', 'PROD0424', 'PROD0606', 'PROD0741']",363194
CUST0064,Sakura,Anggraini,Female,41,1983-11-11,Married,Actuary,Manado,Middle Income,"['PROD0820', 'PROD0272', 'PROD0147']","['PROD0730', 'PROD0249', 'PROD0949']",4345338
CUST0065,Devi,Hasanah,Female,54,1970-10-02,Married,Research scientist (life sciences),Cirebon,Low Income,"['PROD0993', 'PROD0184']","['PROD0336', 'PROD0392', 'PROD0882', 'PROD0340']",451404
CUST0066,Gilang,Mahendra,Male,19,2006-07-09,Single,Food technologist,Tasikmalaya,Middle Income,['PROD0123'],"['PROD0600', 'PROD0804']",2925894
CUST0067,Sabrina,Nuraini,Female,36,1989-06-13,Single,"Solicitor, Scotland",Tegal,Middle Income,"['PROD0520', 'PROD0837', 'PROD0098']","['PROD0216', 'PROD0547', 'PROD0970']",5709072
CUST0068,Radit,Mansur,Male,40,1984-12-25,Married,Arts administrator,Sabang,Low Income,"['PROD0399', 'PROD0687', 'PROD1057', 'PROD0692']","['PROD0966', 'PROD0323', 'PROD0526', 'PROD0829']",906363
CUST0069,Fathonah,Safitri,Female,31,1994-05-14,Single,"Surveyor, mining",Tanjungpinang,Low Income,['PROD0756'],"['PROD0509', 'PROD0926', 'PROD0614']",552901
CUST0070,Prayitna,Rajata,Male,21,2003-11-09,Single,Call centre manager,Kota Administrasi Jakarta Timur,Low Income,"['PROD0818', 'PROD0323']","['PROD0554', 'PROD0138', 'PROD1024', 'PROD1031']",807968
CUST0071,Mursinin,Rajata,Male,50,1974-10-10,Married,Tourism officer,Ternate,Middle Income,"['PROD0761', 'PROD0650', 'PROD0921']","['PROD0175', 'PROD0799', 'PROD0612', 'PROD0618']",3736443
CUST0072,Tantri,Namaga,Female,60,1965-03-28,Married,Stage manager,Pariaman,Middle Income,"['PROD0380', 'PROD0098']","['PROD0694', 'PROD0227']",2888804
CUST0073,Syahrini,Anggraini,Female,35,1990-04-16,Single,Primary school teacher,Pangkalpinang,Low Income,"['PROD0003', 'PROD0336']","['PROD0732', 'PROD0993', 'PROD0068', 'PROD0927']",595669
CUST0074,Kenari,Siregar,Male,49,1976-07-12,Married,Health promotion specialist,Cimahi,Low Income,['PROD0203'],"['PROD0455', 'PROD0456']",303926
CUST0075,Rafid,Tamba,Male,52,1972-10-28,Married,Sports therapist,Tasikmalaya,Low Income,['PROD0052'],"['PROD0984', 'PROD0806', 'PROD0878', 'PROD0807']",547741
CUST0076,Malika,Riyanti,Female,25,1999-10-18,Married,"Engineer, maintenance",Kota Administrasi Jakarta Barat,Middle Income,"['PROD0357', 'PROD0529', 'PROD0760', 'PROD0274']","['PROD0844', 'PROD0976', 'PROD0114', 'PROD0061']",1656144
CUST0077,Unggul,Wahyudin,Male,21,2004-06-05,Married,"Teacher, early years/pre",Medan,Middle Income,"['PROD0687', 'PROD0245', 'PROD0065']","['PROD0746', 'PROD1025']",5111098
CUST0078,Labuh,Wibowo,Male,38,1986-12-29,Single,Education administrator,Lubuklinggau,Middle Income,"['PROD0650', 'PROD0735', 'PROD0071']","['PROD0491', 'PROD0115', 'PROD0082', 'PROD0812', 'PROD0952', 'PROD1018']",2409682
CUST0079,Nrima,Haryanto,Male,32,1993-06-19,Single,Publishing copy,Tegal,Low Income,"['PROD0911', 'PROD0047', 'PROD0575', 'PROD0447']","['PROD0692', 'PROD0052', 'PROD0747']",487600
CUST0080,Ajimin,Sihombing,Male,39,1985-11-10,Single,"Accountant, chartered public finance",Kupang,Low Income,"['PROD0480', 'PROD0502', 'PROD0468']","['PROD0735', 'PROD0028', 'PROD0052', 'PROD1024']",749559
CUST0081,Purwanto,Setiawan,Male,29,1995-11-09,Single,Animator,Bima,Middle Income,"['PROD0826', 'PROD0188', 'PROD0991']","['PROD0909', 'PROD0707', 'PROD0602']",5205942
CUST0082,Paramita,Kusmawati,Female,51,1974-08-09,Married,Planning and development surveyor,Lhokseumawe,Middle Income,['PROD0557'],"['PROD0929', 'PROD0050', 'PROD0726']",3428138
CUST0083,Safina,Oktaviani,Female,47,1977-09-01,Married,Paramedic,Sawahlunto,Middle Income,"['PROD0074', 'PROD0585', 'PROD0379']","['PROD0239', 'PROD0179', 'PROD0920', 'PROD0620', 'PROD0373', 'PROD0700']",2072040
CUST0084,Upik,Narpati,Male,55,1970-06-30,Married,Chief Marketing Officer,Lubuklinggau,Low Income,"['PROD0997', 'PROD0238', 'PROD0873']","['PROD0082', 'PROD0992', 'PROD0637', 'PROD0784', 'PROD0416', 'PROD0323']",652794
CUST0085,Galuh,Natsir,Male,48,1977-01-19,Married,Clinical psychologist,Kota Administrasi Jakarta Barat,Low Income,"['PROD0116', 'PROD0365', 'PROD0746']","['PROD0122', 'PROD0681', 'PROD0394', 'PROD0115', 'PROD0019']",549226
CUST0086,Caket,Hidayat,Male,19,2006-07-11,Married,Pensions consultant,Parepare,Middle Income,"['PROD0270', 'PROD0456', 'PROD0197', 'PROD0100']","['PROD0602', 'PROD0652', 'PROD0325']",2674031
CUST0087,Genta,Zulaika,Female,60,1964-12-08,Married,Futures trader,Manado,Middle Income,"['PROD0045', 'PROD0033', 'PROD0374', 'PROD1056']","['PROD0865', 'PROD0800', 'PROD1022', 'PROD0181', 'PROD0451', 'PROD0469', 'PROD0888']",4841108
CUST0088,Cengkal,Setiawan,Male,40,1984-09-03,Married,Land/geomatics surveyor,Bekasi,Middle Income,"['PROD0484', 'PROD0951', 'PROD0903', 'PROD0018']","['PROD0151', 'PROD0589', 'PROD0209', 'PROD0303']",3752770
CUST0089,Ani,Rahayu,Female,30,1994-09-19,Single,Geographical information systems officer,Salatiga,Middle Income,"['PROD0537', 'PROD0559']","['PROD0051', 'PROD0906', 'PROD0668', 'PROD0330', 'PROD0562']",2886377
CUST0090,Ina,Rahmawati,Female,55,1970-02-09,Married,Telecommunications researcher,Padang,Middle Income,"['PROD0857', 'PROD0250', 'PROD0656']","['PROD0912', 'PROD0144', 'PROD0042', 'PROD1029', 'PROD0032', 'PROD0358']",1364529
CUST0091,Umaya,Hidayat,Male,31,1993-12-03,Single,Risk manager,Kota Administrasi Jakarta Barat,Middle Income,"['PROD0062', 'PROD0071', 'PROD0299', 'PROD0944']","['PROD0883', 'PROD0980', 'PROD0289', 'PROD0261', 'PROD1033', 'PROD0569']",1412966
CUST0092,Anggabaya,Hardiansyah,Male,58,1967-06-17,Married,"Loss adjuster, chartered",Sukabumi,Low Income,"['PROD0146', 'PROD0189', 'PROD0573']","['PROD0013', 'PROD0145', 'PROD0058', 'PROD0084']",816129
CUST0093,Lukman,Gunarto,Male,39,1985-08-26,Married,"Psychologist, sport and exercise",Bekasi,Middle Income,"['PROD0991', 'PROD0234']","['PROD0058', 'PROD0594', 'PROD0997', 'PROD0301']",3646842
CUST0094,Karimah,Utami,Female,41,1983-12-25,Married,Arts development officer,Bitung,Middle Income,"['PROD0886', 'PROD0355']","['PROD0678', 'PROD0078', 'PROD0956']",3097381
CUST0095,Gasti,Pudjiastuti,Female,60,1964-12-25,Married,"Sound technician, broadcasting/film/video",Kupang,High Income,"['PROD0630', 'PROD0446', 'PROD0172']","['PROD0318', 'PROD0036', 'PROD0344', 'PROD0976']",7249053
CUST0096,Galiono,Tarihoran,Male,27,1998-08-12,Married,"Administrator, arts",Kota Administrasi Jakarta Selatan,Middle Income,"['PROD0806', 'PROD0160', 'PROD0703', 'PROD0679']","['PROD0969', 'PROD0681', 'PROD0497', 'PROD0055', 'PROD0266', 'PROD0270']",5913242
CUST0097,Martaka,Wasita,Male,30,1995-01-25,Married,Arboriculturist,Sukabumi,High Income,"['PROD0618', 'PROD0251']","['PROD0983', 'PROD0123', 'PROD0758', 'PROD0796', 'PROD1018', 'PROD0480']",19147607
CUST0098,Maya,Zulaika,Female,42,1983-07-15,Married,Geographical information systems officer,Palu,Low Income,"['PROD1017', 'PROD0606', 'PROD1037']","['PROD0557', 'PROD0755', 'PROD0361', 'PROD0979', 'PROD0179', 'PROD0069']",343580
CUST0099,Maryadi,Widodo,Male,30,1995-07-02,Married,Television floor manager,Kota Administrasi Jakarta Selatan,Low Income,['PROD0435'],"['PROD1052', 'PROD0928', 'PROD0883']",763393
CUST0100,Farhunnisa,Hassanah,Female,49,1975-09-09,Married,"Nurse, learning disability",Kota Administrasi Jakarta Timur,Middle Income,"['PROD0601', 'PROD0069', 'PROD0011']","['PROD0531', 'PROD0979']",2493933
CUST0101,Balapati,Damanik,Male,24,2000-12-03,Married,Counsellor,Depok,Low Income,"['PROD0600', 'PROD0989', 'PROD0288', 'PROD0470']","['PROD0818', 'PROD0637', 'PROD1058', 'PROD1046']",328956
CUST0102,Ina,Wulandari,Female,35,1990-05-06,Single,Bonds trader,Yogyakarta,Middle Income,"['PROD0956', 'PROD0403', 'PROD0231']","['PROD0053', 'PROD0328', 'PROD0621', 'PROD0923', 'PROD0514', 'PROD0236', 'PROD0009']",1312490
CUST0103,Salsabila,Andriani,Female,60,1965-04-01,Married,Chief Marketing Officer,Kediri,Middle Income,['PROD0379'],"['PROD0608', 'PROD0388']",4038232
CUST0104,Laswi,Suryono,Male,44,1980-12-02,Married,"Nurse, mental health",Tanjungbalai,Middle Income,['PROD0394'],"['PROD0536', 'PROD0013', 'PROD0435']",3358413
CUST0105,Vera,Melani,Female,21,2004-04-01,Married,"Therapist, music",Batam,Middle Income,"['PROD0324', 'PROD0977', 'PROD0660', 'PROD0349']","['PROD0247', 'PROD0432', 'PROD0338', 'PROD0647', 'PROD0783']",1624866
CUST0106,Soleh,Manullang,Male,42,1982-11-04,Married,Estate manager/land agent,Magelang,Low Income,"['PROD0573', 'PROD0343']","['PROD0576', 'PROD0251', 'PROD0299', 'PROD0209', 'PROD0549', 'PROD0229']",891689
CUST0107,Martana,Nugroho,Male,22,2003-01-08,Single,Social researcher,Pekanbaru,Middle Income,['PROD0652'],"['PROD0462', 'PROD0176', 'PROD1000', 'PROD0396', 'PROD0662']",4605643
CUST0108,Gambira,Mansur,Male,50,1974-11-01,Married,"Radiographer, diagnostic",Bandung,Middle Income,"['PROD0984', 'PROD0637', 'PROD0418']","['PROD0213', 'PROD0343', 'PROD0410', 'PROD0551', 'PROD0116', 'PROD0188']",3518722
CUST0109,Puput,Aryani,Female,39,1986-07-21,Married,"Administrator, arts",Pagaralam,Middle Income,['PROD0403'],"['PROD0292', 'PROD0752', 'PROD0558', 'PROD0036', 'PROD0574', 'PROD0381']",3445824
CUST0110,Ajimat,Hardiansyah,Male,47,1978-02-26,Married,Product manager,Palopo,Low Income,['PROD0438'],"['PROD0692', 'PROD0549']",226981
CUST0111,Uli,Suartini,Female,58,1967-03-08,Married,"Engineer, automotive",Sukabumi,High Income,['PROD0629'],"['PROD0063', 'PROD0606', 'PROD0941', 'PROD0167', 'PROD0629']",10991353
CUST0112,Unjani,Namaga,Female,40,1984-12-10,Married,Licensed conveyancer,Bukittinggi,Middle Income,"['PROD0088', 'PROD0711', 'PROD0364']","['PROD0732', 'PROD0657', 'PROD0756', 'PROD0775', 'PROD0752', 'PROD0901', 'PROD0017']",2361434
CUST0113,Clara,Widiastuti,Female,38,1986-11-24,Single,Community pharmacist,Surabaya,Middle Income,"['PROD0477', 'PROD0349', 'PROD0105', 'PROD0096']","['PROD0786', 'PROD0111', 'PROD0895']",2506928
CUST0114,Ghani,Prasetya,Male,20,2004-08-31,Single,Camera operator,Bau-Bau,Low Income,"['PROD0040', 'PROD0638']","['PROD0805', 'PROD0212', 'PROD0508', 'PROD0084']",522920
CUST0115,Farah,Hassanah,Female,54,1971-07-21,Married,Chartered certified accountant,Tanjungpinang,Low Income,"['PROD0199', 'PROD0350']","['PROD0837', 'PROD1016', 'PROD0565']",848626
CUST0116,Setya,Maheswara,Male,36,1988-11-01,Single,"Programmer, applications",Serang,Middle Income,"['PROD0878', 'PROD0589']","['PROD0217', 'PROD0507']",4224912
CUST0117,Genta,Permata,Female,43,1981-12-20,Married,Regulatory affairs officer,Pangkalpinang,Low Income,"['PROD0014', 'PROD0228']","['PROD0136', 'PROD0224', 'PROD0890', 'PROD0035', 'PROD0570']",347747
CUST0118,Gatot,Kusumo,Male,22,2002-12-08,Married,"Designer, interior/spatial",Cimahi,Low Income,"['PROD0393', 'PROD0679']","['PROD0962', 'PROD0245', 'PROD0480', 'PROD0799', 'PROD0288']",424619
CUST0119,Gambira,Wibisono,Male,23,2002-01-05,Married,Drilling engineer,Langsa,Middle Income,"['PROD0343', 'PROD1034', 'PROD0736']","['PROD0394', 'PROD0261', 'PROD0818']",4815400
CUST0120,Waluyo,Lazuardi,Male,42,1983-07-11,Married,Archivist,Surabaya,Low Income,"['PROD0615', 'PROD0720', 'PROD0831']","['PROD0138', 'PROD0967', 'PROD0921', 'PROD0122', 'PROD0596']",408312
CUST0121,Rangga,Widodo,Male,47,1977-09-30,Married,Software engineer,Tidore Kepulauan,Low Income,"['PROD0204', 'PROD0385']","['PROD0535', 'PROD0456', 'PROD0187', 'PROD0289', 'PROD0765', 'PROD0058', 'PROD0480']",372586
CUST0122,Putri,Zulaika,Female,43,1981-11-09,Married,Charity officer,Sabang,Middle Income,"['PROD0882', 'PROD0611', 'PROD1022', 'PROD0518']","['PROD0766', 'PROD1053', 'PROD0614', 'PROD0619']",5566450
CUST0123,Rama,Waluyo,Male,29,1995-08-19,Single,"Therapist, horticultural",Kota Administrasi Jakarta Utara,Middle Income,"['PROD1030', 'PROD0405', 'PROD0681', 'PROD1032']","['PROD0243', 'PROD0853', 'PROD0718']",5102111
